agent_removed,phase,tier,accuracy_strict,accuracy_lenient,accuracy_drop_pp,baseline_strict,correct,wrong,active,win1_acc,win2_acc,win3_acc,win4_acc,win5_acc,win6_acc,win7_acc,win8_acc,win9_acc,win10_acc,win11_acc,win12_acc,win13_acc,win14_acc,win15_acc,win16_acc,win17_acc
Without HybridRegimeAgent,Phase 3b,Core,83.68794326241135,80.97345132743364,4.021553944292563,87.70949720670392,118,23,141,20.0,100.0,0.0,96.15384615384616,64.28571428571429,100.0,87.5,80.0,100.0,94.44444444444444,85.71428571428571,83.33333333333334,75.0,33.33333333333333,75.0,0.0,100.0
Without SentimentScores,Phase 2,Core,85.56149732620321,81.76100628930818,2.1479998805007057,87.70949720670392,160,27,187,25.0,100.0,85.71428571428571,100.0,60.0,100.0,87.5,85.71428571428571,87.5,94.44444444444444,87.5,88.88888888888889,75.0,81.81818181818183,70.0,80.0,100.0
Without FusionAgent,Phase 6,Core,87.55760368663594,82.90598290598291,0.15189352006797208,87.70949720670392,190,27,217,50.0,100.0,92.85714285714286,100.0,52.94117647058824,100.0,88.23529411764706,91.66666666666666,87.5,94.44444444444444,88.88888888888889,90.0,90.9090909090909,75.0,70.0,93.33333333333333,100.0
Without RiskEngine,Phase 9,Decision,87.70949720670392,83.27868852459017,0.0,87.70949720670392,157,22,179,42.857142857142854,100.0,90.0,100.0,69.23076923076923,100.0,86.66666666666667,90.0,100.0,94.11764705882352,83.33333333333334,88.88888888888889,66.66666666666666,71.42857142857143,70.0,85.71428571428571,100.0
Without AESLAgent,Phase 27,Epistemic,87.70949720670392,83.27868852459017,0.0,87.70949720670392,157,22,179,42.857142857142854,100.0,90.0,100.0,69.23076923076923,100.0,86.66666666666667,90.0,100.0,94.11764705882352,83.33333333333334,88.88888888888889,66.66666666666666,71.42857142857143,70.0,85.71428571428571,100.0
Without UncertaintyAgent,Phase 5,Core,87.70949720670392,83.27868852459017,0.0,87.70949720670392,157,22,179,42.857142857142854,100.0,90.0,100.0,69.23076923076923,100.0,86.66666666666667,90.0,100.0,94.11764705882352,83.33333333333334,88.88888888888889,66.66666666666666,71.42857142857143,70.0,85.71428571428571,100.0
Without ConflictResolver,Phase 13,Decision,88.35978835978835,84.11214953271028,-0.6502911530844386,87.70949720670392,167,22,189,44.44444444444444,100.0,100.0,100.0,69.23076923076923,100.0,87.5,90.0,100.0,94.11764705882352,85.71428571428571,88.88888888888889,75.0,71.42857142857143,70.0,85.71428571428571,100.0
Without AdversarialTester,Phase 11,Robustness,89.07563025210085,84.85639686684074,-1.3661330453969356,87.70949720670392,212,26,238,44.44444444444444,96.29629629629629,93.75,100.0,64.28571428571429,100.0,88.23529411764706,91.66666666666666,100.0,94.11764705882352,88.88888888888889,84.61538461538461,93.33333333333333,83.33333333333334,78.57142857142857,94.11764705882352,100.0
Without HeatmapGDI,Phase 16,Analytical,89.32038834951457,84.1642228739003,-1.610891142810658,87.70949720670392,184,22,206,55.55555555555556,100.0,90.9090909090909,100.0,69.23076923076923,100.0,87.5,90.9090909090909,100.0,94.11764705882352,83.33333333333334,88.88888888888889,80.0,71.42857142857143,78.57142857142857,88.88888888888889,100.0
Without ASC Memory,Phase 26,Epistemic,91.13924050632912,86.19791666666666,-3.4297432996252013,87.70949720670392,216,21,237,55.55555555555556,96.29629629629629,100.0,100.0,64.28571428571429,100.0,93.75,100.0,100.0,94.11764705882352,90.9090909090909,84.61538461538461,93.75,90.9090909090909,78.57142857142857,94.11764705882352,100.0
