ticker,lstm_s,mc_mean,mc_std,sent_score,regime,regime_conf,legacy_regime,risk_score_corr,div_status,topo_modifier,topo_chaos,topo_signal,causal_modifier,causal_score,combined_mod,adver_passed,adver_delta,adver_penalty,top_driver,ig_score,raw_conf,gated_conf,gdi,gdi_penalty,gdi_tension,conflict_ruling,arb_conf,asc_score,asc_penalty,asc_quadrant,bcs,aesl_zone,aesl_mult,alloc_pct,display_alloc_pct,kelly_frac,num_shares,decision,actual_ret,result_cat,result_icon,test_date,outcome_date,window
AAPL,0.0,0.0,0.0,0.02,Sideways,0.92,N/A,0.325,OK,0.9121,0.6995,SIDEWAYS,0.9955,0.6848,0.9538,True,-0.5785,1.0,RSI,-0.001837,0.2178,0.2077,0.291,0.95,MILD,NO_CONFLICT,0.1558,0.9231,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.442,MODERATE,0.819,0.0,2.0,-0.2663,0,SELL,-1.992,noise_c,OK!,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
MSFT,0.0,0.0,0.0,0.08,Bear,0.73,N/A,0.4666,MINOR,0.982,0.5899,CHAOTIC,0.9655,0.6515,0.9738,True,-0.0117,1.0,RSI,-0.001283,0.3018,0.6329,0.249,0.95,MILD,MILD_ADJUST,0.4589,0.9231,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.5276,MODERATE,0.7245,2.91,2.91,0.0982,0,BUY,1.615,noise_c,OK!,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
NVDA,0.0106,0.0106,0.0106,0.1,Bear,0.89,N/A,0.5143,MINOR,0.9848,0.576,NEUTRAL,0.9655,0.6515,0.9751,True,-0.6987,1.0,sma50_dist,-0.003263,0.3093,0.6338,0.2635,0.95,MILD,MILD_ADJUST,0.4482,0.9214,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.4914,MODERATE,0.69,2.01,2.01,0.0803,0,BUY,7.201,correct,OK,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
TSLA,0.0001,0.0001,0.0001,-0.14,Bear,0.73,N/A,0.65,MINOR,1.0098,0.4511,CHAOTIC,0.9355,0.6182,0.9727,True,-0.3009,1.0,sma10_dist,-0.004239,0.1354,0.1423,0.2205,0.95,MILD,NO_CONFLICT,0.0934,0.9214,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.1059,MILD,0.828,0.0,2.0,-0.511,0,SELL,-3.524,correct,OK,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
META,0.0037,0.0037,0.0037,0.12,Bear,0.68,N/A,0.72,CRITICAL,0.9901,0.5493,CHAOTIC,0.9355,0.6182,0.9628,True,-0.3767,1.0,sma10_dist,-0.001837,0.3144,0.5862,0.3048,0.95,MILD,SYSTEMIC_VETO,0.1319,0.936,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.555,MODERATE,0.78,0.0,2.0,-0.4469,0,SELL,1.149,noise_w,BAD,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
GOOGL,0.0001,0.0001,0.0001,0.08,Bear,0.87,N/A,0.5921,MINOR,0.9887,0.5566,CHAOTIC,0.9655,0.6515,0.9771,True,-0.1764,1.0,sma10_dist,-0.001826,0.3018,0.6351,0.2607,0.95,MILD,MILD_ADJUST,0.4306,0.9284,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.4989,MODERATE,0.69,1.2,1.2,0.051,0,BUY,3.829,correct,OK,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
AMZN,0.0,0.0,0.0,0.14,Bear,0.73,N/A,0.5549,MINOR,1.008,0.4602,CHAOTIC,0.9655,0.6515,0.9868,False,-0.0018,0.72,sma50_dist,-0.000646,0.32,0.4902,0.2743,0.95,MILD,HOLD,0.306,0.9284,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.5576,MODERATE,0.69,0.0,0.0,-0.1567,0,HOLD,5.172,hold,HOLD,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
AMD,0.0,0.0,0.0,0.22,Bear,0.89,N/A,0.65,MINOR,1.0079,0.4606,CHAOTIC,0.9355,0.6182,0.9717,True,-0.0385,1.0,sma10_dist,0.001973,0.3442,0.7871,0.3375,0.95,MILD,HOLD,0.306,0.9284,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.5613,MODERATE,0.69,0.0,0.0,-0.1567,0,HOLD,21.706,hold,HOLD,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
INTC,0.0,0.0,0.0,0.25,Bear,0.89,N/A,0.65,MINOR,1.01,0.4502,CHAOTIC,0.9655,0.6515,0.9878,True,-0.134,1.0,sma10_dist,-0.002508,0.3533,0.8445,0.3927,0.85,MODERATE,HOLD,0.306,0.9284,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.5729,MODERATE,0.5865,0.0,0.0,-0.1567,0,HOLD,29.361,hold,HOLD,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
ORCL,0.0,0.0,0.0,0.04,Bear,0.68,N/A,0.9006,CRITICAL,0.9175,0.6713,SIDEWAYS,0.9655,0.6515,0.9415,True,-0.1068,1.0,sma50_dist,-0.001137,0.1606,0.5028,0.3023,0.95,MILD,SYSTEMIC_VETO,0.1131,0.9284,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.244,MILD,0.7038,0.0,2.0,-0.4782,0,SELL,-2.602,correct,OK,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
